Animal Type,Color,Animal ID
Bird,Black,46
Bird,Black/Blue,1
Bird,Black/Brown,7
Bird,Black/Chocolate,5
Bird,Black/Cream,5
Bird,Black/Gold,1
Bird,Black/Gray,1
Bird,Black/Green,2
Bird,Black/Red,16
Bird,Black/Tan,1
Bird,Black/Tricolor,1
Bird,Black/White,24
Bird,Black/Yellow,3
Bird,Blue,12
Bird,Blue/Black,3
Bird,Blue/Brown,1
Bird,Blue/Gold,1
Bird,Blue/Gray,3
Bird,Blue/Green,3
Bird,Blue/White,14
Bird,Blue/Yellow,2
Bird,Brown,60
Bird,Brown/Black,14
Bird,Brown/Gray,4
Bird,Brown/Green,2
Bird,Brown/Red,6
Bird,Brown/Tan,1
Bird,Brown/Tricolor,1
Bird,Brown/White,15
Bird,Brown/Yellow,5
Bird,Buff,1
Bird,Buff/Brown,3
Bird,Cream,2
Bird,Cream/Black,1
Bird,Cream/White,1
Bird,Fawn/Black,1
Bird,Gold,2
Bird,Gold/Brown,1
Bird,Gray,38
Bird,Gray/Black,4
Bird,Gray/Blue,2
Bird,Gray/Brown,3
Bird,Gray/Gray,2
Bird,Gray/Green,2
Bird,Gray/Red,4
Bird,Gray/Tan,1
Bird,Gray/White,20
Bird,Gray/Yellow,8
Bird,Green,18
Bird,Green/Black,3
Bird,Green/Blue,6
Bird,Green/Gray,5
Bird,Green/Orange,2
Bird,Green/Red,5
Bird,Green/Silver,1
Bird,Green/Tricolor,1
Bird,Green/White,2
Bird,Green/Yellow,13
Bird,Orange,2
Bird,Orange/White,1
Bird,Red,35
Bird,Red/Black,26
Bird,Red/Brown,4
Bird,Red/Green,1
Bird,Red/White,6
Bird,Sable,1
Bird,Silver,1
Bird,Tan,3
Bird,Tan/Red,1
Bird,Tan/White,3
Bird,Tan/Yellow,1
Bird,Tricolor,11
Bird,Tricolor/Brown,1
Bird,Tricolor/White,8
Bird,White,59
Bird,White/Black,12
Bird,White/Blue,13
Bird,White/Brown,7
Bird,White/Buff,1
Bird,White/Gray,4
Bird,White/Green,1
Bird,White/Orange,2
Bird,White/Red,5
Bird,White/Tan,2
Bird,White/Tricolor,3
Bird,White/White,1
Bird,White/Yellow,6
Bird,Yellow,33
Bird,Yellow/Black,13
Bird,Yellow/Blue,1
Bird,Yellow/Brown,1
Bird,Yellow/Gray,2
Bird,Yellow/Green,4
Bird,Yellow/Red,3
Bird,Yellow/White,3
Cat,Agouti,16
Cat,Agouti/Brown Tabby,1
Cat,Agouti/Cream,1
Cat,Agouti/White,3
Cat,Apricot,1
Cat,Apricot/White,1
Cat,Black,7206
Cat,Black Brindle,2
Cat,Black Smoke,195
Cat,Black Smoke/Black Tabby,4
Cat,Black Smoke/Black Tiger,1
Cat,Black Smoke/Brown Tabby,1
