Animal Type,Outcome Type,Sex upon Outcome,Animal ID
Bird,Adoption,Intact Female,66
Bird,Adoption,Intact Male,80
Bird,Adoption,Unknown,105
Bird,Died,Intact Male,3
Bird,Died,Unknown,23
Bird,Disposal,Intact Female,1
Bird,Disposal,Intact Male,16
Bird,Disposal,Unknown,14
Bird,Euthanasia,Intact Female,12
Bird,Euthanasia,Intact Male,14
Bird,Euthanasia,Unknown,108
Bird,Missing,Unknown,1
Bird,Relocate,Unknown,10
Bird,Return to Owner,Intact Female,12
Bird,Return to Owner,Intact Male,6
Bird,Return to Owner,Unknown,29
Bird,Transfer,Intact Female,29
Bird,Transfer,Intact Male,56
Bird,Transfer,Unknown,120
Cat,Adoption,Intact Female,705
Cat,Adoption,Intact Male,512
Cat,Adoption,Neutered Male,12728
Cat,Adoption,Spayed Female,13238
Cat,Adoption,Unknown,1
Cat,Died,Intact Female,244
Cat,Died,Intact Male,316
Cat,Died,Neutered Male,58
Cat,Died,Spayed Female,68
Cat,Died,Unknown,126
Cat,Disposal,Intact Female,24
Cat,Disposal,Intact Male,20
Cat,Disposal,Neutered Male,5
Cat,Disposal,Spayed Female,6
Cat,Disposal,Unknown,44
Cat,Euthanasia,Intact Female,600
Cat,Euthanasia,Intact Male,700
Cat,Euthanasia,Neutered Male,329
Cat,Euthanasia,Spayed Female,238
Cat,Euthanasia,Unknown,362
Cat,Missing,Intact Female,13
Cat,Missing,Intact Male,10
Cat,Missing,Neutered Male,2
Cat,Missing,Spayed Female,10
Cat,Missing,Unknown,2
Cat,Relocate,Neutered Male,1
Cat,Relocate,Spayed Female,3
Cat,Relocate,Unknown,1
Cat,Return to Owner,Intact Female,199
Cat,Return to Owner,Intact Male,131
Cat,Return to Owner,Neutered Male,1221
Cat,Return to Owner,Spayed Female,878
Cat,Return to Owner,Unknown,55
Cat,Rto-Adopt,Intact Female,7
Cat,Rto-Adopt,Intact Male,5
Cat,Rto-Adopt,Neutered Male,109
Cat,Rto-Adopt,Spayed Female,78
Cat,Rto-Adopt,Unknown,1
Cat,Transfer,Intact Female,7171
Cat,Transfer,Intact Male,6416
Cat,Transfer,Neutered Male,2872
Cat,Transfer,Spayed Female,2711
Cat,Transfer,Unknown,3577
Dog,Adoption,Intact Female,511
Dog,Adoption,Intact Male,478
Dog,Adoption,Neutered Male,19798
Dog,Adoption,Spayed Female,18631
Dog,Adoption,Unknown,10
Dog,Died,Intact Female,95
Dog,Died,Intact Male,107
Dog,Died,Neutered Male,47
Dog,Died,Spayed Female,32
Dog,Died,Unknown,38
Dog,Disposal,Intact Female,18
Dog,Disposal,Intact Male,25
Dog,Disposal,Neutered Male,5
Dog,Disposal,Spayed Female,1
Dog,Disposal,Unknown,10
Dog,Euthanasia,Intact Female,472
Dog,Euthanasia,Intact Male,577
Dog,Euthanasia,Neutered Male,546
Dog,Euthanasia,Spayed Female,311
Dog,Euthanasia,Unknown,52
Dog,Lost,Intact Female,1
Dog,Missing,Intact Female,7
Dog,Missing,Intact Male,14
Dog,Missing,Neutered Male,5
Dog,Missing,Spayed Female,6
Dog,Return to Owner,Intact Female,2743
Dog,Return to Owner,Intact Male,4240
Dog,Return to Owner,Neutered Male,8029
Dog,Return to Owner,Spayed Female,5908
Dog,Return to Owner,Unknown,90
Dog,Rto-Adopt,Intact Female,24
Dog,Rto-Adopt,Intact Male,40
Dog,Rto-Adopt,Neutered Male,418
Dog,Rto-Adopt,Spayed Female,278
Dog,Stolen,Intact Male,2
Dog,Transfer,Intact Female,4768
Dog,Transfer,Intact Male,4326
Dog,Transfer,Neutered Male,4935
Dog,Transfer,Spayed Female,3840
Dog,Transfer,Unknown,358
Livestock,Adoption,Intact Female,4
Livestock,Adoption,Intact Male,1
Livestock,Adoption,Neutered Male,1
Livestock,Adoption,Unknown,6
Livestock,Died,Unknown,1
Livestock,Euthanasia,Intact Male,1
Livestock,Euthanasia,Unknown,1
Livestock,Return to Owner,Intact Female,2
Livestock,Return to Owner,Intact Male,2
Livestock,Return to Owner,Unknown,1
Livestock,Transfer,Intact Female,2
Livestock,Transfer,Intact Male,3
Livestock,Transfer,Unknown,1
Other,Adoption,Intact Female,178
Other,Adoption,Intact Male,188
Other,Adoption,Neutered Male,174
Other,Adoption,Spayed Female,131
Other,Adoption,Unknown,88
Other,Died,Intact Female,7
Other,Died,Intact Male,8
Other,Died,Spayed Female,2
Other,Died,Unknown,191
Other,Disposal,Intact Male,8
Other,Disposal,Unknown,464
Other,Euthanasia,Intact Female,60
Other,Euthanasia,Intact Male,92
Other,Euthanasia,Neutered Male,1
Other,Euthanasia,Spayed Female,3
Other,Euthanasia,Unknown,5007
Other,Missing,Intact Male,3
Other,Missing,Unknown,1
Other,Relocate,Intact Female,1
Other,Relocate,Unknown,10
Other,Return to Owner,Intact Female,21
Other,Return to Owner,Intact Male,12
Other,Return to Owner,Neutered Male,6
Other,Return to Owner,Spayed Female,3
Other,Return to Owner,Unknown,23
Other,Rto-Adopt,Intact Female,1
Other,Rto-Adopt,Intact Male,1
Other,Rto-Adopt,Spayed Female,1
Other,Transfer,Intact Female,227
Other,Transfer,Intact Male,268
Other,Transfer,Neutered Male,17
Other,Transfer,Spayed Female,8
Other,Transfer,Unknown,509
